PLAYER_ID,NICKNAME,GRADE,REGION
1001,Raven01,C,Desert
1002,Luna02,B,Desert
1003,Kain03,B,East
1004,Mina04,S,North
1005,Aron05,A,Harbor
1006,Yuri06,C,Central
1007,Noah07,C,Ruins
1008,Iris08,A,East
1009,Theo09,S,Mountain
1010,Rina10,C,North
1011,Eden11,B,West
1012,Sera12,B,North
1013,Leon13,B,Forest
1014,Nia14,S,South
1015,Kai15,C,Harbor
1016,Jude16,C,Forest
1017,Milo17,C,South
1018,Tara18,A,Central
1019,Rex19,C,Ruins
1020,Amy20,B,Mountain
1021,Haru21,A,East
1022,Lio22,C,Mountain
1023,Vera23,C,Harbor
1024,Ciel24,B,South
1025,Rudy25,C,Ruins
1026,Elin26,B,Harbor
1027,Zion27,A,South
1028,Dain28,A,West
1029,Moa29,C,Forest
1030,Ren30,B,Central
1031,Asha31,C,Desert
1032,Beryl32,C,Forest
1033,Cody33,C,Desert
1034,Dora34,B,Harbor
1035,Evan35,C,Desert
1036,Faye36,B,East
1037,Glen37,A,Harbor
1038,Hana38,B,Forest
1039,Ian39,A,West
1040,Jina40,S,Central
1041,Kero41,C,East
1042,Lena42,C,South
1043,Miro43,C,Forest
1044,Nero44,C,Mountain
1045,Orin45,C,South
1046,Pia46,B,Central
1047,Quin47,S,Central
1048,Roa48,B,Harbor
1049,Sion49,S,Ruins
1050,Toma50,B,West
